Element,Z,Orbital,Exponent,C_1s,C_2s,C2_p
He,2,1S,1.4595,1.3479,0.0,0.
He,2,3S,5.3244,-0.001613,0.0,0.
He,2,2S,2.6298,-0.100506,0.0,0.
He,2,2S,1.7504,-0.270779,0.0,0.
Li,3,1S,4.3069,0.141279,-0.022416,0.
Li,3,1S,2.4573,0.874231,-0.135791,0.
Li,3,3S,6.785,-0.005201,0.000389,0.
Li,3,2S,7.4527,-0.002307,-6.8e-05,0.
Li,3,2S,1.8504,0.006985,-0.076544,0.
Li,3,2S,0.7667,-0.000305,0.340542,0.
Li,3,2S,0.6364,0.00076,0.715708,0.
Be,4,1S,5.7531,0.285107,-0.016378,0.
Be,4,1S,3.7156,0.474813,-0.155066,0.
Be,4,3S,9.967,-0.00162,0.000426,0.
Be,4,2S,3.7128,0.052862,-0.059234,0.
Be,4,2S,4.4661,0.243499,-0.031925,0.
Be,4,2S,1.2919,0.000106,0.387968,0.
Be,4,2S,0.8555,-3.2e-05,0.685674,0.
B,5,1S,7.0178,0.381607,-0.022549,0.
B,5,1S,3.9468,0.423958,0.321716,0.
B,5,3S,12.7297,-0.001316,-0.000452,0.
B,5,3S,2.7646,-0.000822,-0.072032,0.
B,5,2S,5.742,0.237016,-0.050313,0.
B,5,2S,1.5436,0.001062,-0.484281,0.
B,5,2S,1.0802,-0.000137,-0.518986,0.
B,5,2P,5.7416,0.,0.0,0.0076
B,5,2P,2.6341,0.,0.0,0.045137
B,5,2P,1.834,0.,0.0,0.184206
B,5,2P,1.1919,0.,0.0,0.394754
B,5,2P,0.8494,0.,0.0,0.432795
C,6,1S,8.4936,0.352872,-0.071727,0.
C,6,1S,4.8788,0.473621,0.438307,0.
C,6,3S,15.466,-0.001199,-0.000383,0.
C,6,2S,7.05,0.210887,-0.091194,0.
C,6,2S,2.264,0.000886,-0.393105,0.
C,6,2S,1.4747,0.000465,-0.579121,0.
C,6,2S,1.1639,-0.000119,-0.126067,0.
C,6,2P,7.05,0.0,0.0,0.006977
C,6,2P,3.2275,0.0,0.0,0.070877
C,6,2P,2.1908,0.0,0.0,0.230802
C,6,2P,1.4413,0.0,0.0,0.411931
C,6,2P,1.0242,0.0,0.0,0.350701
N,7,1S,9.9051,0.354839,-0.067498,0.
N,7,1S,5.7429,0.472579,0.434142,0.
N,7,3S,17.9816,-0.001038,-0.000315,0.
N,7,2S,8.3087,0.208492,-0.080331,0.
N,7,2S,2.7611,0.004687,-0.374128,0.
N,7,2S,1.8223,0.000266,-0.522775,0.
N,7,2S,1.4121,6.4e-05,-0.207735,0.
N,7,2P,8.349,0.0,0.0,0.006323
N,7,2P,3.8827,0.0,0.0,0.082938
N,7,2P,2.592,0.0,0.0,0.260147
N,7,2P,1.6946,0.0,0.0,0.418361
N,7,2P,1.1914,0.0,0.0,0.308272
O,8,1S,11.297,0.360063,-0.064363,0.
O,8,1S,6.5966,0.466825,0.433186,0.
O,8,3S,20.5019,-0.000918,-0.000275,0.
O,8,2S,9.5546,0.208441,-0.072497,0.
O,8,2S,3.2482,0.002018,-0.3699,0.
O,8,2S,2.1608,0.000216,-0.512627,0.
O,8,2S,1.6411,0.000133,-0.227421,0.
O,8,2P,9.6471,0.0,0.0,0.005626
O,8,2P,4.3323,0.0,0.0,0.126518
O,8,2P,2.7526,0.0,0.0,0.328966
O,8,2P,1.7525,0.0,0.0,0.395422
O,8,2P,1.2473,0.0,0.0,0.231788
F,9,1S,12.6074,0.377498,-0.058489,0.
F,9,1S,7.4101,0.443947,0.42645,0.
F,9,3S,23.2475,-0.000797,-0.000274,0.
F,9,2S,10.7416,0.213846,-0.063457,0.
F,9,2S,3.7543,0.002189,-0.358939,0.
F,9,2S,2.5009,0.000335,-0.51666,0.
F,9,2S,1.8577,0.000147,-0.239143,0.
F,9,2P,11.0134,0.0,0.0,0.004879
F,9,2P,4.9962,0.0,0.0,0.130794
F,9,2P,3.154,0.0,0.0,0.337876
F,9,2P,1.9722,0.0,0.0,0.396122
F,9,2P,1.3632,0.0,0.0,0.225374
Ne,10,1S,13.9074,0.39229,-0.053023,0.0
Ne,10,1S,8.2187,0.425817,0.419502,0.0
Ne,10,3S,26.0325,-0.000702,-0.000263,0.0
Ne,10,2S,11.9249,0.217206,-0.055723,0.0
Ne,10,2S,4.2635,0.0023,-0.349457,0.0
Ne,10,2S,2.8357,0.000463,-0.52307,0.0
Ne,10,2S,2.0715,0.000147,-0.246038,0.0
Ne,10,2P,12.3239,0.0,0.0,0.004391
Ne,10,2P,5.6525,0.0,0.0,0.133955
Ne,10,2P,3.557,0.0,0.0,0.342978
Ne,10,2P,2.2056,0.0,0.0,0.395742
Ne,10,2P,1.4948,0.0,0.0,0.221831
